Local,Nome,Logradouro,Latitude,Longitude
Café Deli,Gourmet New York,680 Eighth Ave,40.757998,-73.989218
Café Deli,Port Gourmet Deli,681 Eighth Ave,40.758007,-73.98924
Quick Serve,McDonald's,220 W 42nd St,40.756412,-73.987858
Quick Serve,McDonald's,688 Eighth Ave,40.758218,-73.989059
Full Serve,Robert Emmett's Bar & Restaurant,694 Eighth Ave,40.758383,-73.98894
Café Deli,1657 Broadway Deli,1651-1665 Broadway,40.762164,-73.983575
Full Serve,Hard Rock Cafe,1501 Broadway,40.757103,-73.986193
Full Serve,Planet Hollywood,1540 Broadway,40.757847,-73.985009
Full Serve,B. Smith's Restaurant Row,320 W 46th St,40.760136,-73.988759
Full Serve,Orso,322 W 46th St,40.760153,-73.988803
Full Serve,Joe Allen,326 W 46th St,40.760186,-73.988882
Full Serve,O'Flaherty's Ale House & Restaurant,334 W 46th St,40.760254,-73.989045
Full Serve,Sangria 46,338 W 46th St,40.76029,-73.989124
Full Serve,Le Rivage,340 W 46th St,40.760307,-73.989167
